contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508P05230000,2025-04-11 18:33:14+00:00,5230.0,146.6,121.4,122.5,0.0,0.0,,4.0,0.298285825805664,False,REGULAR,USD
SPXW250508P05240000,2025-04-15 15:07:21+00:00,5240.0,77.87,123.8,124.9,0.0,0.0,1.0,3.0,0.2941621792984009,False,REGULAR,USD
SPXW250508P05250000,2025-04-15 15:57:37+00:00,5250.0,77.71,127.5,128.4,0.0,0.0,2.0,82.0,0.2920145262145995,False,REGULAR,USD
SPXW250508P05260000,2025-04-16 16:02:31+00:00,5260.0,109.46,128.3,132.0,0.0,0.0,10.0,80.0,0.2898783171081542,False,REGULAR,USD
SPXW250508P05270000,2025-04-17 14:17:35+00:00,5270.0,126.8,136.9,137.8,40.960007,47.71669,4.0,3.0,0.29181616394042953,False,REGULAR,USD
SPXW250508P05275000,2025-04-16 13:50:15+00:00,5275.0,129.27,137.0,138.0,11.360001,9.634467,1.0,25.0,0.2874750818634032,False,REGULAR,USD
SPXW250508P05280000,2025-04-16 17:03:36+00:00,5280.0,117.65,126.7,129.0,0.0,0.0,,,0.26530046840667726,False,REGULAR,
SPXW250508P05290000,2025-04-17 13:31:34+00:00,5290.0,134.7,145.5,146.3,-25.600006,-15.970058,1.0,12.0,0.28906198005676265,False,REGULAR,USD
SPXW250508P05300000,2025-04-17 13:38:04+00:00,5300.0,158.2,148.7,149.6,-14.110001,-8.188729,9.0,93.0,0.28555630832672113,True,REGULAR,USD
SPXW250508P05310000,2025-04-17 14:37:36+00:00,5310.0,160.7,153.8,154.7,32.699997,25.546873,3.0,15.0,0.28531598480224607,True,REGULAR,USD
SPXW250508P05320000,2025-04-17 13:52:07+00:00,5320.0,143.0,158.2,159.0,4.25,3.0630631,2.0,11.0,0.28332854740142815,True,REGULAR,USD
SPXW250508P05325000,2025-04-16 18:40:17+00:00,5325.0,173.72,160.3,161.0,0.0,0.0,20.0,25.0,0.2819667140960693,True,REGULAR,USD
SPXW250508P05330000,2025-04-15 17:25:44+00:00,5330.0,111.24,162.6,163.3,0.0,0.0,40.0,48.0,0.2811313037490844,True,REGULAR,USD
SPXW250508P05340000,2025-04-16 14:29:18+00:00,5340.0,136.72,166.6,167.7,0.0,0.0,12.0,52.0,0.27891498680114746,True,REGULAR,USD
SPXW250508P05350000,2025-04-17 13:48:33+00:00,5350.0,162.67,170.2,171.2,-23.050003,-12.411158,3.0,123.0,0.27472649108886715,True,REGULAR,USD
SPXW250508P05360000,2025-04-16 14:20:27+00:00,5360.0,154.53,174.6,179.3,0.0,0.0,10.0,12.0,0.27925830612182617,True,REGULAR,USD
SPXW250508P05370000,2025-04-17 13:48:33+00:00,5370.0,172.22,180.9,181.8,22.809998,15.266714,2.0,3.0,0.27267038982391356,True,REGULAR,USD
SPXW250508P05375000,2025-04-16 14:20:27+00:00,5375.0,161.08,183.0,184.4,0.0,0.0,10.0,30.0,0.271918901977539,True,REGULAR,USD
SPXW250508P05380000,2025-04-15 17:31:28+00:00,5380.0,123.91,181.8,192.9,0.0,0.0,4.0,2.0,0.28269912864685054,True,REGULAR,USD
SPXW250508P05390000,2025-04-15 14:03:26+00:00,5390.0,114.03,175.3,177.5,0.0,0.0,,,0.24010845958709714,True,REGULAR,
SPXW250508P05400000,2025-04-17 14:56:45+00:00,5400.0,196.72,195.8,197.0,-27.259995,-12.170728,1.0,90.0,0.2664982713699341,True,REGULAR,USD
SPXW250508P05420000,2025-04-15 15:57:37+00:00,5420.0,126.91,190.8,193.2,0.0,0.0,,,0.23259739578247068,True,REGULAR,
SPXW250508P05425000,2025-04-16 18:40:17+00:00,5425.0,226.23,210.9,212.1,0.0,0.0,20.0,38.0,0.26459857112884516,True,REGULAR,USD
SPXW250508P05430000,2025-04-15 19:15:40+00:00,5430.0,136.08,213.6,214.8,0.0,0.0,1.0,9.0,0.2633893241882324,True,REGULAR,USD
SPXW250508P05440000,2025-04-09 16:05:09+00:00,5440.0,498.5,219.6,220.8,0.0,0.0,,30.0,0.26201604690551755,True,REGULAR,USD
SPXW250508P05450000,2025-04-16 13:48:04+00:00,5450.0,190.9,227.1,228.1,0.0,0.0,2.0,28.0,0.2631222980499268,True,REGULAR,USD
SPXW250508P05470000,2025-04-11 16:59:53+00:00,5470.0,244.43,233.6,241.7,0.0,0.0,,1.0,0.26261113372802736,True,REGULAR,USD
SPXW250508P05475000,2025-04-15 14:51:05+00:00,5475.0,156.2,238.0,244.8,0.0,0.0,7.0,78.0,0.2616994301986694,True,REGULAR,USD
SPXW250508P05480000,2025-04-15 15:47:52+00:00,5480.0,156.43,226.0,228.3,0.0,0.0,,,0.21672078453063962,True,REGULAR,
SPXW250508P05490000,2025-04-15 15:35:34+00:00,5490.0,156.88,228.2,240.2,0.0,0.0,,,0.22700510551452632,True,REGULAR,
SPXW250508P05500000,2025-04-17 14:56:45+00:00,5500.0,258.54,254.9,263.0,38.33,17.406113,1.0,274.0,0.2621724479293823,True,REGULAR,USD
SPXW250508P05510000,2025-04-15 15:02:01+00:00,5510.0,163.44,240.5,252.6,0.0,0.0,,,0.22022264160156246,True,REGULAR,
SPXW250508P05525000,2025-04-14 17:40:57+00:00,5525.0,208.46,273.5,280.4,0.0,0.0,10.0,32.0,0.25944496665954586,True,REGULAR,USD
SPXW250508P05550000,2025-04-16 15:58:44+00:00,5550.0,246.05,293.5,300.5,0.0,0.0,2.0,43.0,0.26172994747161865,True,REGULAR,USD
